,title,link,salary_min,salary_max,currency,site
162,Middle Python Developer,https://hh.ru/vacancy/51062817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,180000.0,,руб.,https://hh.ru
163,Программист Python + Go,https://hh.ru/vacancy/51599419?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
164,Разработчик (программист) Python,https://hh.ru/vacancy/50841535?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
165,Python разработчик,https://hh.ru/vacancy/51500885?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
166,System developer С++ / Python (middleware),https://hh.ru/vacancy/50708157?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
167,Python разработчик,https://hh.ru/vacancy/51494104?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
168,Python developer (Автографик),https://hh.ru/vacancy/47431643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
169,Backend Python разработчик,https://hh.ru/vacancy/50713630?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
170,Программист Python (удаленно),https://hh.ru/vacancy/45864751?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
171,Программист Python (удаленно),https://hh.ru/vacancy/50056408?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
172,Python разработчик,https://hh.ru/vacancy/49104282?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,300000.0,руб.,https://hh.ru
